record_id,period,artifact_kind,evidence_class,campaign_or_family,primary_path,related_paths,source_commit_or_timestamp,result_scope,comparability_warnings,deduplication_note,availability,primary_sha256,missing_local_paths
apr_legacy_10bus,2026-04-23 to 2026-04-28,raw pricing/MIP family,historical evidence,April legacy 10-bus workflows,/Users/nadan/Documents/projects/demandresponse/src/results/Practice_10bus_20260424_152031,/Users/nadan/Documents/projects/demandresponse/src/results/Practice_10bus_20260428_103722; /Users/nadan/Documents/projects/demandresponse/src/results/Practice_10bus_20260423_141146; /Users/nadan/Documents/projects/demandresponse/src/results/Practice_10bus_20260423_141214; /Users/nadan/Documents/projects/demandresponse/src/results/Practice_10bus_20260424_145724; /Users/nadan/Documents/projects/demandresponse/src/results/Practice_10bus_20260424_150015,2026-04-30 retention commit 8ef80490403d36ae74cfc6ac2431e948c62b31a7,Legacy DP pricing traces plus finite-pool MIPs for 10-bus practice instances; raw logs/solutions retained for only some attempts.,"Not a matched-configuration comparison with current work; coverage rule, time grid, tariff binding and seed policy vary.","All same-family retries/checkpoint and diagnostic directories are one historical family, not separate replications.",local,,
apr_selected10_175,2026-04-26,raw pricing/MIP + audit,historical evidence,April selected 10-bus / 175-trip anchor,/Users/nadan/Documents/projects/demandresponse/src/results/Practice_Selected_10bus_20260426_173852,/Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/HISTORICAL_175_TRIP_REGRESSION_AUDIT.md; /Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/april_source_replay/README.md; /Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/full_cache_witness_audit/LEGACY_SUMMARY.md,candidate behavior match 14364901ec74c85df90c8ac0b3d635f7e0547776; selected input hash 75673708acf2b2099b2240829e2603920bc5608d34fef2f7d28cd7d2931868c7,"Retained April trace has a 12-bus timed incumbent, 1-hour MIP, objective 1,200,421.972423, bound 1,000,363.857969, gap 16.6656%; source replay was launched separately as job 653567.","Exact historical executable, source commit, price-file binding, route pool and physical replay are absent. Full-cache audit later proves a 10-duty event-model witness, but does not recover the April pool.","The source-replay directory is a behavior-matching reconstruction, not the original run identity.",local report + remote replay artifacts,,
apr_legacy_15_20,2026-04-18 to 2026-04-28,raw pricing/MIP family,historical evidence,April legacy 15- and 20-bus scale attempts,/Users/nadan/Documents/projects/demandresponse/src/results/Practice_15bus_20260428_103124,/Users/nadan/Documents/projects/demandresponse/src/results/Practice_20bus_20260428_103325; /Users/nadan/Documents/projects/demandresponse/src/results/Practice_15bus_20260424_152129; /Users/nadan/Documents/projects/demandresponse/src/results/Practice_20bus_20260424_152107; /Users/nadan/Documents/projects/demandresponse/src/results/Practice_20bus_20260418_231739; /Users/nadan/Documents/projects/demandresponse/src/Practice_15bus_g300_20260429_015514; /Users/nadan/Documents/projects/demandresponse/src/Practice_15bus_g9999_20260429_015514; /Users/nadan/Documents/projects/demandresponse/src/Practice_20bus_g300_20260429_015514; /Users/nadan/Documents/projects/demandresponse/src/Practice_20bus_g9999_20260429_015514,2026-04-30 retention commit 8ef80490403d36ae74cfc6ac2431e948c62b31a7,"Legacy pricing traces, checkpoints and selected finite-model MIPs; includes April-29 200-column checkpoints for g300/g9999.","Heterogeneous legacy settings and incomplete route/physical provenance; retained analysis reports 20/30/43 pricing walls of about 11.99/1.94/1.55 hours with negative reduced costs, not a global certificate.",Group result-bearing runs with same named scale and collapse empty retries.,local,,
apr_legacy_30_43,2026-04-26 to 2026-04-29,raw pricing/MIP family,historical evidence,April legacy 30- and 43-bus scale attempts,/Users/nadan/Documents/projects/demandresponse/src/results/Practice_43bus_20260426_194616,/Users/nadan/Documents/projects/demandresponse/src/results/Practice_30bus_20260426_174020; /Users/nadan/Documents/projects/demandresponse/src/Practice_30bus_g300_20260429_015514; /Users/nadan/Documents/projects/demandresponse/src/Practice_30bus_g9999_20260429_015514; /Users/nadan/Documents/projects/demandresponse/src/Practice_43bus_g300_20260429_015514; /Users/nadan/Documents/projects/demandresponse/src/Practice_43bus_g9999_20260429_015514; /Users/nadan/Documents/projects/demandresponse/src/benchmark_43bus_lex.log; /Users/nadan/Documents/projects/demandresponse/src/benchmark_43bus_win.log,2026-04-30 retention commit 8ef80490403d36ae74cfc6ac2431e948c62b31a7,"Finite historical models include 43 g300 objective 3,500,630 with equal bound/gap 0 and 43 g9999 objective 3,700,640 with 0.0001% gap; separate 900s/7200s benchmark logs remain timed.",These are finite legacy models with artificial/covering behavior and no complete route-space certificate. The retained 43 label can include dummy routes; objective values are not comparable to current event costs.,Scale siblings and repeated checkpoint directories are one campaign family.,local,,
apr29_checkpoints_10_20,2026-04-29,checkpoint/pricing CSV family,historical evidence,"April-29 g300/g9999 checkpoint sweep, k10/15/20",/Users/nadan/Documents/projects/demandresponse/src/Practice_10bus_g300_20260429_015514,/Users/nadan/Documents/projects/demandresponse/src/Practice_10bus_g300_20260429_102535; /Users/nadan/Documents/projects/demandresponse/src/Practice_10bus_g9999_20260429_015514; /Users/nadan/Documents/projects/demandresponse/src/Practice_15bus_g300_20260429_015514; /Users/nadan/Documents/projects/demandresponse/src/Practice_15bus_g9999_20260429_015514; /Users/nadan/Documents/projects/demandresponse/src/Practice_20bus_g300_20260429_015514; /Users/nadan/Documents/projects/demandresponse/src/Practice_20bus_g9999_20260429_015514,2026-04-29 filename timestamp; retained by 8ef80490403d36ae74cfc6ac2431e948c62b31a7,Pricing journals and latest checkpoints; no final MIP log for k10/15/20 in these directories.,"A checkpoint is a progress snapshot, not convergence or an integer optimum; settings use the historical g300/g9999 variants.","All six checkpoint directories are one sweep, not six independent datasets.",local,,
may_10bus_giro_seed,2026-05-01,raw pricing/MIP family + audit,historical evidence,May GIRO-initialized 10-bus groups,/Users/nadan/Documents/projects/demandresponse/src/results/Practice_10bus_20260501_133845,/Users/nadan/Documents/projects/demandresponse/src/results/Inst_10B_G02_13311_13319_20260501_143224; /Users/nadan/Documents/projects/demandresponse/src/results/Inst_10B_G03_13320_13402_20260501_143001; /Users/nadan/Documents/projects/demandresponse/src/results/Inst_10B_G04_13403_13412_20260501_143421; /Users/nadan/Documents/projects/demandresponse/src/results/Inst_10B_G05_last10_20260501_144839; /Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/HISTORICAL_EASY10_AUDIT.md,7c564dae2566aaf47bdc6413aad0ec9fbfe89ac9 (2026-05-01),"GIRO initialization path for 10-bus groups. May-1 329-row record reports objective 1,000,885.36, bound 981,232.513, 1.9635% gap and status optimal at requested 2%.","Legacy DP/covering behavior, no SOC/physical replay certificate; the 329-row universe and 175-row selected universe are different instances.",G01--G05 and empty launch retries are grouped as one initialization family.,local,,
may_rnd004,2026-05-12,raw pricing/MIP family,historical evidence,May RND004 CHEAT versus NO_CHEAT,/Users/nadan/Documents/projects/demandresponse/src/results/Inst_10B_RND004_CHEAT_stag50_imp5.0_g300_20260512_163950,/Users/nadan/Documents/projects/demandresponse/src/results/Inst_10B_RND004_NO_CHEAT_stag50_imp5.0_g300_20260512_163258; /Users/nadan/Documents/projects/demandresponse/src/results/Inst_10B_RND004_NO_CHEAT_stag50_imp5.0_g300_20260512_171108; /Users/nadan/Documents/projects/demandresponse/src/results/Inst_10B_RND004_NO_CHEAT_stag50_imp5.0_g300_20260512_171405; /Users/nadan/Documents/projects/demandresponse/data/pricing_Inst_10B_RND004_NO_CHEAT_stag999999_imp-1.0_150cols.csv,timestamps 2026-05-12; exact source commit not retained with the output family,"Four result-bearing runs: one CHEAT and three NO_CHEAT; each has pricing CSV, checkpoint, final MIP log and solution.",Old 300-kWh/300-kW and legacy seed/master semantics; no unified audit in this checkout ties every row to the same input hash.,Three NO_CHEAT attempts and empty retries are not independent random datasets.,local,,
may_rnd002_audit,2026-05,derived audit of raw/remote artifacts,audit,May RND002 CHEAT/NO_CHEAT peak tariff comparison,/Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/HISTORICAL_RND002_AUDIT.md,/Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/HISTORICAL_RND002_AUDIT.csv; /Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/HISTORICAL_RND002_AUDIT.json,audit prepared 2026-09-08; source work is May legacy workflow,"CHEAT: 10 buses at peaks 08/12/18, first two proved and peak18 timed with 0.018624% gap; NO_CHEAT: 12/12/11 buses, all time-limited. Imports historical VehicleTask routes versus empty/artificial start.","Old G=300, full-SOC, 15-kWh/10-minute settings; only retained audit is local, some source route pools are remote. No greedy RND002 row was retained.",One audit row summarizes six tariff cells; peak variants are not six independent instances.,local,2d628dbc157f343f306d3ec90777c768576f98c399d9db3aab4ebff8a7d4a46e,
legacy_summary_tables,2026-04 to 2026-05,CSV summary tables,historical evidence,Legacy final_results and phase-time summaries,/Users/nadan/Documents/projects/demandresponse/src/final_results.csv,/Users/nadan/Documents/projects/demandresponse/src/final_full_results.csv,files retained by 8ef80490403d36ae74cfc6ac2431e948c62b31a7; current local copies are untracked,"81 heterogeneous rows; final_results statuses are 71 RUNNING/END, 8 STAGNATED, 2 CONVERGED. full_results adds master/pricing seconds and percentages.","Rows mix instances, budgets, stopping rules and backends; many retain negative reduced cost at wall stop. It is a historical telemetry archive, not a clean algorithm benchmark.",Two CSV views of the same 81-row archive; do not count them as 162 experiments.,local,c2152532871c2cc8792aca7646136cf9d8db72b78cd613437e560fc0d71e4203,
legacy_10b_analysis,2026-04 to 2026-05,"pricing traces, plots and stats",historical evidence,Legacy 10B analysis bundle,/Users/nadan/Documents/projects/demandresponse/src/results/10B_analysis,/Users/nadan/Documents/projects/demandresponse/src/results/vehicle_gap_analysis,archived by 4c57cc1/2962f69/c747645 (2026-08-05); original run dates vary,"Contains 10/15/20/30-bus random-instance pricing CSVs, plots, convergence/time summaries and legacy vehicle-gap diagnostics.","Trace-only and derived plots do not establish a common input, a route-space certificate or physical feasibility; vehicle-gap files are diagnostics.","Plots, duplicate trace exports and diagnostics remain grouped as one archive.",local,,
